a0	iltvpresidentinvaalit
a1	iltvlinnanjuhlat
a2	iltvviihde
a3	iltvveikkausliiga
a4	iltvmusiikki
a5	iltvjaakiekonmm2012
a6	iltvhullumaailma
a7	iltvjalkapallonem2012
a8	iltvkuntavaalit
aa	automerkit
ac	autokolumnit
ad	dvdarvostelut
ae	kysyeskolta
af	autoklassikot
ag	asuminenmeganosto
ai	kysysisustajalta
ak	atkaveri
al	allergia
am	moottoripyorat
an	asuminen
as	kysystailaajalta
at	autotestit
au	autot
ax	autotmeganosto
b0	blogituutisetoikea
b1	horoskooppioikea
b2	euroviisutoikea
b3	dvdarvostelutoikea
b4	digioikea
b5	autotestitoikea
b6	automerkitoikea
b7	autokolumnitoikea
b8	rakkausjaseksioikea
b9	sarjakuvaoikea
bb	bigbrother
bl	bigbrotherblogi
bi	blogit
bn	bloginosto
bu	bloginostourheilu
c1	etusivuvakiooikea
c2	uutisetvakiooikea
c3	urheiluvakiooikea
c4	viihdevakiooikea
c5	etvakiooikea
c6	iltvvakiooikea
c7	tyylicomvakiooikea
c8	iltvtyylicomvakiooikea
ca	catwalk
cn	kaupunkinosto
d1	blogitviihdeoikea
d2	digikaksi
d3	paakirjoitusoikea
d4	sanakirjaoikea
d5	nettitvoikea
d6	sosiaalinenoikea
d7	victorianhaatoikea
d8	urheiluteeveeoikea
d9	urheilunosto
de	ekodigi
dg	digi
di	diabetes
dl	digilaitteet
dn	diginosto
do	dopingskandaali
dp	digipelit
ds	lukijattestaavat
dt	digitohtori
du	digiuutiset
dv	digivinkit
e1	raskausjalapsetoikea
e2	etusivukaksi
e3	etusivukolme
ee	etusivuextra
ek	ekortit
el	elintavat
em	emjalkapallo2012
en	etusivuextranostot
eo	espoo
er	etusivuoikea
es	espoontragedia
et	etusivu
eu	etusivuvasen
ev	euroviisut
ew	euroviisut2013
ex	extrat
ey	emyleisurheilu2012
f1	rallioikea
f2	nalkapaivaoikea
f3	leffaraatioikea
f4	kauppalehtioikea
f5	nettitvnostojoulukalenteri
f6	linnanjuhlatoikea
f7	ohooikea
f8	muotijakauneusvalinnat
f9	blogitmuotioikea
fl	flunssa
fn	foorumikuvanosto
fo	formulat
g0	iltatyttooikea
g1	ylioppilaatoikea
g2	veikkausliigaoikea
g3	ulkomaatoikea
g4	spyshotoikea
g5	musiikkioikea
g6	painopaivyrioikea
g7	keskusteluoikea
g8	jalkapallooikea
g9	jaakiekkooikea
gx	grilliextra
h1	haapiontalvi
h2	haapionkevat
h3	haapionkesa
h4	haapionsyksy
h5	nakokulmaoikea
h6	wikileaksoikea
h7	japanioikea
h8	catwalkoikea
h9	matkasairaudetoikea
ha	hakemisto
hc	helsinkicup
hi	helsinki
hl	hintajalaatu
hm	mmhiihto2011
ho	horoskooppi
ht	hiukset
hu	hullumaailma
i0	
i1	muotijakauneusoikea
i2	mmhiihto2011oikea
i3	oscaroikea
i4	libyankriisioikea
i5	katejawilliamhaatoikea
i6	mmlatka2011oikea
i7	kesaleijonaoikea
i8	copaamericaoikea
i9	yleisurheilun-mm-2011-oikea
ib	ilboksi
id	idols
if	ilboksiformulat
il	iloisetuutiset
iltv	
im	itameri
in	ilona
is	ilonatiiseri
io	injaout
it	iltatytto
j0	mmjaakiekko2012
j1	presidentinvaalitoikea
j2	aapelioikea
j3	tyylicomoikea
j4	mmjaakiekko2012oikea
j5	asuminenoikea
j6	emjalkapallo2012oikea
j7	emyleisurheilu2012oikea
ja	jalkapallonakokulma
jb	jalkapalloextrablogi
jc	mmjaakiekko2013
jd	julkkiskodit
ji	japani
jk	jaakiekko
jl	julkkislista
jm	mmlatka2011
jn	jaakiekkonakokulma
jo	joulu
jp	jalkapallo
jt	jokelantragedia
ju	julkkisarkisto
jx	jalkapalloextra
k0	anjasnellman
k1	kalleisokallio
k2	railinurvala
k3	vexisalmi
k4	kirsipiha
k5	jyrkilehtola
k6	aarnolaitinen
k7	mattieskohytonen
k8	seppokaisla
k9	kaarinahazard
ka	kauneus
kb	kisaextrablogi
kc	kysykokilta
kd	diana
ke	kotikokkiextra
kf	kauneuskirurgia
kg	kuninkaalliset
kh	koyhyys
ki	kisaextra
kj	kauhajoentragedia
kl	kalastusextra
kn	kuntotohtori
ko	kolumnistit
kp	koripallon-em-2011
kq	kuvasade2013
kr	kuntavaalit
ks	kauneustohtori
kt	koti
ku	kulttuuri
kv	kysykasvatuksesta
kw	katejawilliamhaat
kx	kanariaextra
ky	kyselyt
kz	kuvasade2012
l1	hl-harrastukset
l2	hl-juhlat
l3	hl-kodintarvikkeet
l4	hl-lapset
l5	hl-painonhallinta
l6	hl-palvelut
l7	hl-ruoka
l8	hl-kauneus
la	leffat
lc	libyankriisi
le	leffat-le  
lh	laihdutus
li	lintuinfluenssa
lj	linnanjuhlat
lk	lukijankuva
ll	lukijat
ln	leijonat
lo	lordi
lp	lapsenpaiva
lr	laskillalukutaitoa
ls	
lt	lentokenttatarina
lz	rakkausjaseksi
m1	minunkotini
ma	matkajutut
mb	missiblogi
mc	muotiguru
md	mieli
me	minaenkiusaa
mf	mmfutis2010
mg	mmfutis2010blogi
mh	muotijakauneus
mi	mielipide
mj	maajussit
mk	matkasairaudet
ml	mmlatka2010
mm	missit
mn	meikki
mo	mokkiextra
mp	mallit
mq	matkailumeganosto
mr	matkatarinani
ms	
mt	meikkitesti
mu	muoti
mv	matkailu
mx	matkailuextra
my	matkatarinaninosto
mz	mestarienliiga
n1	nataliantalvi
n2	nataliankevat
n3	nataliankesa
n4	nataliansyksy
na	nainen
nd	nalkapaiva
nh	nhl
ni	nickekuuntelee
nk	nakoislehti
nn	nainennosto
notfound	
np	nytpuhutaan
ns	niksipakki
nt	nettitv
nz	navikuvanosto
o1	ohonosto
o2	stailaajanosto
ob	olympiaextrablogi
oc	oscar
oh	oho
ol	lontoon-olympialaiset-2012
on	omanosto
os	osastot
ou	oulu
ox	olympiaextra
p1	vakiooikea1
p2	vakiooikea2
p3	vakiooikea3
p4	urheiluvakionostotoikea
p5	vakiooikea2-et
pa	pelita
pb	pelitb
pc	pelitc
pd	presidentinvaalit
pe	pelit
ph	piha
pj	pelijutut
pk	paakirjoitus
po	pokeri
pp	painopaivyri
pr	perhe
ps	popstars
px	prostituutiosuomessa
q0	laihdutusoikea
q1	nettitvkatsotuimmat
q2	kuvagalleriaoikea
q3	blogitoikea
q4	julkkislistaoikea
q5	mmlatkaoikea
qs	satakysymystaseksista
ra	rakkausvalmentaja
rb	raskausjalapset
ri	ralli
rj	rikoksenjaljilla
rl	rakkauslaulut
rp	ruotsinpikkuprinsessa
ru	ruoka
rv	ravit
sa	saa
sd	sydan
se	seksuaalisuusjasuhteet
sh	suosikkikohteet
si	sikainfluenssa
sj	sadonkorjuuextra
sk	sannankeittiossa
sm	smliiga
sn	suominousuun
so	salonki
sp	spyshot
sq	suosikkikohteetnosto
ss	sofiansohva
st	stailaaja
su	suhteet
sx	seksologi
sy	syopa
sz	
t1	teresantalvi
t2	teresankevat
t3	teresankesa
t4	teresansyksy
t6	iltvtyylicom
ta	talous
tb	tyoelama
tc	tyylicom
te	tampere
tg	tyylicommeganosto
th	thaimaaextra
ti	
tl	talviurheilu
tn	tanssi
tp	tulospalvelu
to	tyojatalous
tq	kysytyylista
tr	terveys
ts	talvisota
tt	terveystestit
tu	turku
tv	teevee
tx	taloextra
ty	iltatyttoaan
u2	uutisetkaksi
ud	dvduutiset
ue	urheiluextranostot
ug	urheilukaikki
ul	ulkomaat
ur	urheilu
us	usanvaalit
uu	uutiset
uv	usanvaalit2012
ux	urheilumeganosto
v0	iltvuutiset
v1	iltvautot
v2	iltvbigbrother
v3	iltvbundesliiga
v4	iltvdigi
v5	iltvlive
v6	iltvluontojaelaimet
v7	iltvmuotijakauneus
v8	iltvsmliiga
v9	iltvurheilu
va	vantaa
ve	verkkovieras
vf	voiceoffinland
vg	veikkausliiga
vh	victorianhaat
vi	viihde
vj	venaja
vl	vaalit
vm	viihdemeganosto
vn	viihdenosto
vo	viro
vr	verot
vs	vitsit
vt	viihdeextranostot
vx	vaihtoautoextra
vz	valioliiga
w0	vaalitoikea
w1	verotoikea
w2	nettitvnostokaksi
w3	kanariaextraoikea
w4	matkailuextraoikea
w5	kisaextraoikea
w6	missitoikea
w7	tanssioikea
w8	sikainfluenssaoikea
w9	ravitoikea
wk	nettitvnostokisaextra
wn	nettitvnosto
wu	nettitvnostourheilu
wv	nettitvnostoviihde
x0	iloisetuutisetoikea
x1	kakskytkysymystaoikea
x2	autotoikea
x3	formulatoikea
x4	hintajalaatuoikea
x5	hullumaailmaoikea
x6	kauneusoikea
x7	kyselytoikea
x8	leffatoikea
x9	lukijankuvaoikea
xx	xx-testi
y0	bigbrotheroikea
y1	lukijatoikea
y2	matkailuoikea
y3	muotioikea
y4	omaoikea
y5	nainenoikea
y6	pelitoikea
y7	perheoikea
y8	ruokaoikea
y9	sofiansohvaoikea
yd	yleisurheilun-mm-2011-daegu
yh	yhteiso
yl	yleisurheilu
yu	yleisurheiluem2010
z0	taloextraoikea
z1	teeveeoikea
z2	terveysoikea
z3	tulospalveluoikea
z4	uutisetoikea
z5	urheiluoikea
z6	viihdeoikea
z7	idolsoikea
z8	maajussitoikea
z9	kauhajoentragediaoikea
